ACCOUNT_ID,VALUATION,VAL_DT,HPI_INDEX_ORIG,HPI_INDEX_CURR
NB010000539,506785.61,2023-11-01,106.2,131.0
NB010000581,872687.0,2013-01-01,104.9,127.8
NB010000588,683636.42,2014-05-01,106.1,115.8
NB010000595,338930.81,2016-07-01,112.7,115.9
NB010000602,667791.17,2015-05-01,91.2,120.3
NB010000616,83584.48,2012-05-01,110.2,106.7
NB010000630,606245.87,2021-04-01,95.7,93.5
NB010000644,90942.96,2016-06-01,94.0,102.7
NB010000679,288187.6,2014-11-01,95.6,99.2
NB010000693,489732.89,2023-11-01,100.7,117.7
NB010000707,859428.38,2014-02-01,90.5,98.2
NB010000721,478435.07,2018-03-01,88.5,88.8
NB010000749,186574.21,2018-09-01,116.7,139.3
NB010000756,989340.88,2018-12-01,117.2,116.9
NB010000770,935169.47,2020-10-01,102.1,111.2
NB010000777,399298.86,2016-09-01,97.2,95.8
NB010000812,539176.86,2014-06-01,108.4,140.1
NB010000819,302696.59,2015-04-01,103.7,105.7
NB010000826,619629.81,2020-08-01,117.9,130.8
NB010000833,647964.46,2015-03-01,90.0,90.2
NB010000868,135291.54,2013-10-01,104.5,106.5
NB010000882,718242.84,2019-10-01,110.8,114.8
NB010000896,515597.51,2013-08-01,100.4,100.1
NB010000903,430800.74,2015-12-01,105.2,114.2
NB010000945,292869.59,2023-05-01,91.2,113.2
NB010000952,203292.66,2019-07-01,92.8,106.3
NB010000959,385079.05,2019-08-01,117.2,115.0
NB010000973,562905.4,2023-09-01,116.1,133.2
NB010000980,505019.1,2020-06-01,100.1,97.2
NB010000994,556309.75,2012-10-01,117.7,114.8
NB010001001,531227.23,2020-12-01,94.7,96.8
NB010001008,305871.01,2019-05-01,102.3,133.7
NB010001015,763703.31,2016-03-01,97.5,97.7
NB010001029,120255.79,2022-12-01,93.9,97.6
NB010001050,478386.36,2012-11-01,103.6,134.1
NB010001064,693854.89,2018-03-01,99.7,113.3
NB010001092,678662.59,2012-02-01,98.5,95.4
NB010001113,448452.63,2013-05-01,115.0,153.4
NB010001120,625124.9,2014-02-01,106.8,100.8
NB010001127,424805.27,2012-02-01,105.0,113.1
NB010001134,295772.6,2014-11-01,109.9,122.6
NB010001155,240435.35,2018-06-01,94.1,125.7
NB010001162,541264.17,2017-05-01,96.6,98.5
NB010001211,881706.76,2017-07-01,102.2,117.6
NB010001218,663901.14,2020-08-01,97.7,106.1
NB010001239,1391779.22,2018-04-01,98.9,115.0
NB010001253,1013944.02,2019-04-01,100.6,132.8
NB010001267,362330.2,2020-09-01,105.7,127.5
NB010001274,681757.64,2023-01-01,106.2,141.4
NB010001295,813190.04,2018-04-01,112.2,131.8
NB010001309,377206.18,2021-07-01,92.0,92.6
NB010001316,302132.14,2022-12-01,89.7,95.6
NB010001330,1421342.67,2021-02-01,92.6,101.2
NB010001358,509568.5,2013-05-01,99.4,108.1
NB010001365,124636.97,2023-10-01,108.9,145.4
NB010001372,537908.69,2017-12-01,112.3,148.3
NB010001379,555651.06,2013-08-01,113.5,151.6
NB010001435,219200.36,2013-02-01,95.5,92.4
NB010001442,1188537.7,2013-01-01,112.5,135.8
NB010001456,540244.27,2017-08-01,114.9,118.3
NB010001470,632982.15,2013-01-01,107.6,128.7
NB010001477,766373.67,2023-02-01,112.3,120.6
NB010001491,840938.69,2016-06-01,108.9,131.3
NB010001498,780200.22,2022-12-01,92.6,96.2
NB010001547,466454.39,2023-08-01,106.6,109.2
NB010001554,670944.8,2013-02-01,114.8,147.3
NB010001575,380101.63,2018-12-01,99.3,94.9
NB010001603,55104.92,2022-07-01,109.6,141.0
NB010001610,182718.46,2019-08-01,98.9,127.2
NB010001617,721473.45,2015-05-01,98.8,116.5
NB010001624,151535.9,2013-12-01,112.3,124.7
NB010001631,91879.95,2012-11-01,107.4,129.8
NB010001652,254315.42,2022-12-01,97.5,103.0
NB010001673,165343.86,2015-03-01,106.8,109.9
NB010001680,851255.5,2019-03-01,112.2,138.9
NB010001687,915352.54,2014-03-01,99.4,119.9
NB010001750,1285593.24,2018-03-01,106.1,125.3
NB010001764,228238.0,2023-03-01,111.6,113.1
NB010001778,379812.95,2023-05-01,94.5,100.6
NB010001785,568315.75,2020-03-01,104.0,126.3
NB010001806,682748.72,2017-06-01,96.5,123.9
NB010001813,442288.08,2022-04-01,102.8,108.2
NB010001827,243986.06,2018-12-01,106.6,121.1
NB010001848,929193.23,2012-01-01,101.4,109.7
NB010001862,461173.27,2012-04-01,88.7,108.0
NB010001876,390853.1,2014-07-01,110.4,131.7
NB010001911,227886.32,2017-08-01,110.2,129.7
NB010001918,633927.17,2017-12-01,108.4,143.1
NB010001939,629976.12,2015-07-01,117.1,134.4
NB010001953,435146.78,2012-12-01,102.2,104.2
NB010001960,743777.88,2013-01-01,114.1,138.6
NB010001988,961606.4,2023-09-01,91.0,90.0
NB010002009,774288.34,2023-10-01,92.5,99.7
NB010002044,925827.45,2022-06-01,116.5,145.3
NB010002051,1436874.11,2016-01-01,98.1,122.4
NB010002065,323225.12,2015-06-01,101.9,102.4
NB010002086,981301.17,2019-03-01,117.4,134.4
NB010002093,173801.46,2013-03-01,99.2,100.0
NB010002107,575425.96,2013-11-01,100.8,110.3
NB010002114,92002.89,2013-08-01,105.3,105.9
NB010002170,713241.67,2014-10-01,102.2,104.4
NB010002177,258369.06,2023-09-01,94.2,109.6
NB010002184,276201.43,2017-05-01,90.3,94.0
NB010002191,444960.47,2023-06-01,96.1,101.6
NB010002198,246284.33,2014-05-01,99.7,109.7
NB010002205,295591.41,2021-12-01,95.0,94.5
NB010002212,241487.83,2020-12-01,103.6,132.5
NB010002219,203002.51,2013-04-01,88.5,98.4
NB010002240,203597.73,2013-03-01,108.2,129.4
NB010002261,88157.71,2019-03-01,109.9,120.6
NB010002268,594018.28,2015-11-01,111.6,134.5
NB010002275,138377.18,2021-09-01,95.3,115.0
NB010002282,334203.51,2014-07-01,92.5,110.6
NB010002289,964661.12,2019-12-01,91.0,95.8
NB010002303,607364.06,2016-12-01,88.3,100.1
NB010002310,752934.04,2019-08-01,102.0,112.4
NB010002317,985451.24,2023-08-01,100.8,118.5
NB010002324,150551.73,2018-08-01,95.4,94.0
NB010002331,268631.39,2018-04-01,96.2,122.5
NB010002345,348909.22,2018-01-01,116.4,116.9
NB010002359,92502.2,2023-07-01,93.6,114.9
NB010002387,317491.92,2012-09-01,95.4,115.3
NB010002394,723829.57,2019-07-01,113.8,144.0
NB010002401,744430.22,2022-02-01,104.0,101.1
NB010002408,954085.23,2016-11-01,110.4,123.9
NB010002415,440274.22,2013-08-01,116.9,120.6
NB010002443,201671.57,2018-08-01,102.4,113.5
NB010002457,247401.62,2020-02-01,115.8,110.8
NB010002485,401824.6,2019-02-01,99.6,104.7
NB010002499,613668.39,2018-07-01,93.8,100.6
NB010002520,486182.17,2017-03-01,101.6,124.9
NB010002527,1131294.32,2015-05-01,116.6,127.8
NB010002555,457724.11,2016-05-01,88.1,87.1
NB010002569,381917.0,2016-10-01,108.6,124.0
NB010002611,294530.0,2013-03-01,112.9,138.4
NB010002618,583226.54,2013-04-01,92.7,93.7
NB010002625,363764.13,2017-10-01,115.4,139.6
NB010002632,318137.33,2022-07-01,99.5,130.8
NB010002646,402946.54,2019-03-01,102.2,102.0
NB010002653,251668.31,2023-02-01,115.2,123.4
NB010002674,219978.76,2018-05-01,98.3,124.0
NB010002681,229006.1,2021-05-01,106.0,135.2
NB010002702,253098.02,2020-11-01,92.2,108.8
NB010002723,199679.82,2020-02-01,105.9,137.9
NB010002730,759389.41,2018-06-01,93.4,107.9
NB010002751,471795.64,2021-07-01,110.5,118.9
NB010002772,1064896.3,2018-01-01,95.7,100.9
NB010002779,868381.12,2019-12-01,89.2,92.3
NB010002800,677692.88,2020-04-01,115.1,120.0
NB010002807,713509.93,2018-02-01,117.0,115.3
NB010002814,540391.23,2018-07-01,115.2,122.4
NB010002821,654379.49,2014-02-01,94.6,102.5
NB010002828,546103.16,2017-02-01,114.1,151.1
NB010002849,810378.11,2015-07-01,94.5,111.2
NB010002856,428739.94,2016-02-01,116.7,151.2
NB010002877,144564.43,2013-02-01,104.2,121.0
NB010002884,471113.06,2019-08-01,110.1,115.7
NB010002891,180817.12,2019-10-01,116.6,120.4
NB010002898,908367.81,2012-12-01,106.5,116.9
NB010002912,195061.59,2013-06-01,109.2,137.2
NB010002919,393840.28,2018-12-01,102.1,113.4
NB010002926,131098.24,2023-11-01,112.6,109.6
NB010002933,1283750.74,2020-10-01,117.2,152.1
NB010002940,157511.22,2012-05-01,110.9,141.5
NB010002954,1143092.23,2013-04-01,98.6,119.0
NB010002961,143739.49,2020-10-01,115.5,120.0
NB010002975,652157.53,2014-02-01,91.9,90.7
NB010002989,607966.88,2015-08-01,111.0,119.7
NB010002996,473370.37,2020-07-01,96.2,109.2
NB010003003,763974.59,2020-07-01,101.9,124.2
NB010003010,1263307.96,2019-05-01,113.7,122.6
NB010003024,892661.85,2015-02-01,92.2,101.0
NB010003031,83000.98,2015-11-01,93.0,115.9
NB010003045,473239.54,2022-07-01,103.6,137.3
NB010003052,217993.61,2017-08-01,97.9,120.1
NB010003059,725493.21,2020-07-01,104.4,108.1
NB010003066,989853.46,2013-02-01,110.1,131.5
NB010003073,804051.14,2013-01-01,110.7,137.6
NB010003080,344524.24,2018-07-01,117.1,117.1
NB010003087,1612611.03,2023-04-01,111.9,143.5
NB010003101,483215.77,2015-03-01,110.3,109.8
NB010003108,556777.45,2012-08-01,103.7,119.2
NB010003115,538772.73,2015-12-01,112.4,106.8
NB010003129,923635.88,2015-07-01,93.1,97.1
NB010003136,173866.35,2018-08-01,90.5,98.6
NB010003157,1071458.26,2023-06-01,113.4,127.7
NB010003185,1002726.95,2016-02-01,103.9,113.6
NB010003220,534362.51,2018-04-01,105.4,109.2
NB010003227,1221529.66,2013-04-01,100.8,122.8
NB010003248,669597.26,2014-07-01,91.8,87.8
NB010003255,245392.65,2018-06-01,94.2,107.9
NB010003276,182337.43,2012-02-01,97.5,121.6
NB010003283,338540.32,2020-09-01,107.4,125.1
NB010003297,361032.29,2016-02-01,112.9,120.3
NB010003304,201129.45,2023-02-01,95.0,101.9
NB010003339,694426.33,2015-04-01,108.4,127.5
NB010003346,542579.12,2019-01-01,98.4,106.5
NB010003374,290355.04,2021-02-01,101.4,105.4
NB010003388,329850.21,2016-09-01,91.5,115.3
NB010003395,584451.38,2017-06-01,110.9,121.7
NB010003409,653649.73,2019-10-01,92.6,112.8
NB010003416,905790.02,2012-11-01,117.8,115.7
NB010003423,885716.73,2013-03-01,88.5,111.5
NB010003444,215897.79,2012-01-01,112.3,121.0
NB010003451,649485.25,2017-03-01,106.9,106.0
NB010003472,467332.93,2021-03-01,108.8,112.6
NB010003521,1232596.9,2022-08-01,108.7,131.8
NB010003549,153845.81,2018-03-01,99.1,103.1
NB010003563,638119.95,2016-11-01,91.9,122.3
NB010003577,585674.57,2020-04-01,105.9,109.0
NB010003584,166319.59,2021-06-01,115.4,109.7
NB010003591,558496.28,2019-12-01,102.0,121.0
NB010003605,1196375.76,2023-06-01,96.2,96.4
NB010003612,835283.45,2021-10-01,88.2,101.7
NB010003626,165011.39,2013-03-01,106.7,127.9
NB010003633,127957.29,2016-12-01,110.1,107.4
NB010003647,548440.42,2015-05-01,107.4,113.5
NB010003675,433510.16,2020-06-01,103.3,103.6
NB010003689,761232.71,2018-05-01,101.5,113.2
NB010003703,361559.63,2022-10-01,94.7,97.2
NB010003724,660482.43,2021-01-01,102.0,115.5
NB010003752,792519.92,2018-10-01,110.5,115.7
NB010003759,720182.21,2020-06-01,107.4,114.9
NB010003773,966325.78,2014-08-01,113.8,147.9
NB010003780,504830.02,2017-05-01,108.7,132.7
NB010003787,406599.58,2020-09-01,91.1,91.2
NB010003801,577171.81,2013-01-01,96.7,119.5
NB010003808,730699.53,2012-06-01,106.5,135.9
NB010003815,155112.64,2013-10-01,94.4,113.8
NB010003822,981045.79,2021-05-01,115.3,121.0
NB010003836,783250.75,2020-11-01,110.9,113.9
NB010003871,147520.9,2020-05-01,98.8,116.5
NB010003878,244329.16,2012-06-01,103.6,125.4
NB010003885,590302.63,2019-05-01,113.5,142.0
NB010003899,888384.29,2019-09-01,91.7,92.2
NB010003906,969161.66,2013-03-01,88.0,115.2
NB010003913,1331214.04,2018-01-01,98.1,110.1
NB010003927,688821.43,2021-06-01,99.0,103.5
NB010003934,1404494.06,2021-09-01,102.0,120.1
NB010003955,252872.88,2022-06-01,104.4,111.7
NB010003962,738916.45,2021-11-01,118.0,127.8
NB010003983,331322.17,2018-02-01,108.4,114.3
NB010003997,267333.91,2021-05-01,104.5,101.9
NB010004004,271670.97,2021-10-01,89.0,87.2
NB010004018,688310.83,2014-02-01,90.8,104.6
NB010004060,715284.94,2016-03-01,105.7,105.7
NB010004081,735218.15,2017-04-01,116.3,116.8
NB010004088,612520.29,2019-04-01,114.6,110.8
NB010004102,1487988.96,2022-10-01,115.0,120.9
NB010004109,140858.26,2022-12-01,104.9,115.0
NB010004130,418352.34,2014-11-01,101.7,108.2
NB010004144,762680.3,2017-09-01,116.6,134.7
NB010004151,424391.11,2015-04-01,100.2,102.3
NB010004158,593824.25,2013-09-01,117.0,121.7
NB010004165,523220.22,2021-07-01,94.1,94.1
NB010004193,387754.87,2013-09-01,101.8,120.6
NB010004207,434380.28,2017-02-01,116.3,120.4
NB010004214,899592.5,2019-05-01,93.1,119.1
NB010004221,225229.38,2020-08-01,102.5,103.1
NB010004256,409353.8,2020-02-01,116.3,119.3
NB010004263,496265.33,2017-11-01,112.4,113.6
NB010004277,269640.19,2019-05-01,105.4,107.8
NB010004291,437066.71,2016-03-01,106.3,126.8
NB010004312,317583.21,2015-12-01,99.6,103.0
NB010004319,208830.81,2017-08-01,103.8,110.0
NB010004326,774793.43,2019-10-01,98.9,95.0
NB010004333,451711.88,2023-12-01,98.8,97.8
NB010004368,373101.67,2017-09-01,107.8,144.4
NB010004375,381228.73,2016-07-01,94.5,97.2
NB010004389,595193.65,2014-07-01,114.1,137.0
NB010004396,628794.5,2017-08-01,113.8,119.7
NB010004410,410892.52,2023-04-01,89.8,93.5
NB010004417,367213.45,2019-01-01,101.4,98.0
NB010004424,896634.66,2015-04-01,108.7,135.9
NB010004431,330670.11,2021-03-01,95.0,97.8
NB010004438,66676.12,2015-03-01,102.9,103.8
NB010004445,72315.55,2012-09-01,100.7,105.2
NB010004452,902413.08,2015-07-01,92.7,94.9
NB010004459,584720.42,2021-01-01,92.8,101.1
NB010004466,249335.24,2020-07-01,103.2,111.9
NB010004473,440417.66,2022-12-01,90.2,95.4
NB010004480,814681.1,2014-01-01,100.3,130.2
NB010004487,602455.91,2015-11-01,111.7,112.6
NB010004501,1271420.66,2019-04-01,97.3,111.7
NB010004508,978066.46,2014-02-01,112.2,137.4
NB010004515,449830.62,2017-04-01,97.3,102.0
NB010004536,540522.33,2014-07-01,95.8,104.9
NB010004543,488437.81,2014-07-01,113.9,116.6
NB010004550,766959.03,2020-10-01,105.3,104.9
NB010004557,857049.74,2022-02-01,106.8,121.8
NB010004578,212731.9,2015-07-01,92.6,95.3
NB010004585,1012338.64,2022-11-01,99.5,122.8
NB010004592,724848.14,2022-02-01,100.8,96.7
NB010004606,155006.71,2020-07-01,102.6,118.0
NB010004627,166009.07,2022-10-01,106.9,130.6
NB010004655,773934.78,2015-08-01,105.6,102.4
NB010004676,190866.41,2014-01-01,95.8,98.1
NB010004690,83983.47,2015-08-01,96.5,99.9
NB010004704,908908.62,2021-03-01,103.3,120.5
NB010004711,668367.33,2021-10-01,111.7,118.2
NB010004718,1035609.71,2023-08-01,117.3,150.2
NB010004725,588857.9,2019-01-01,97.0,122.1
NB010004732,557017.17,2016-11-01,112.4,132.1
NB010004739,518576.29,2015-09-01,96.1,99.2
NB010004746,437040.37,2021-02-01,116.2,124.7
NB010004753,1289889.73,2019-02-01,105.2,111.4
NB010004760,331762.35,2013-12-01,110.0,111.4
NB010004774,439825.57,2020-10-01,111.9,114.4
NB010004788,175013.41,2022-07-01,105.4,112.6
NB010004830,145430.85,2014-05-01,91.2,119.4
NB010004837,274825.78,2017-01-01,105.2,132.4
NB010004844,643757.49,2012-04-01,114.6,119.9
NB010004865,815446.93,2016-09-01,100.2,113.5
NB010004872,374549.89,2013-08-01,110.6,144.4
NB010004893,683527.23,2013-03-01,91.2,96.6
NB010004907,604304.54,2017-11-01,116.2,131.3
NB010004914,884601.57,2021-03-01,94.4,93.1
NB010004921,445166.24,2017-09-01,106.6,108.2
NB010004928,530572.42,2019-06-01,109.7,128.1
NB010004935,563451.87,2020-05-01,102.1,103.6
NB010004942,239022.09,2016-02-01,88.6,96.7
NB010004963,167151.56,2012-12-01,104.1,106.3
NB010004984,146075.23,2014-12-01,115.7,112.2
NB010004991,109236.62,2017-09-01,88.1,115.3
NB010005005,500985.23,2017-12-01,106.2,133.2
NB010005019,426950.48,2015-07-01,97.5,100.1
NB010005026,1192500.89,2018-10-01,115.1,137.9
NB010005040,752677.38,2023-08-01,109.2,109.7
NB010005047,497721.7,2022-12-01,98.3,105.6
NB010005054,157063.67,2014-12-01,102.9,101.3
NB010005061,1456617.88,2022-02-01,89.6,96.7
NB010005082,429787.99,2016-02-01,114.2,149.4
NB010005096,185206.88,2017-04-01,91.1,91.8
NB010005103,543915.71,2022-09-01,94.9,111.1
NB010005124,338899.15,2016-07-01,103.6,100.7
NB010005138,188262.71,2019-03-01,107.1,105.1
NB010005152,371965.02,2013-01-01,93.1,110.4
NB010005166,194128.94,2023-04-01,89.1,96.9
NB010005173,370488.32,2014-04-01,93.2,94.6
NB010005180,829980.03,2014-01-01,112.9,120.7
NB010005201,230253.84,2022-07-01,97.7,115.8
NB010005208,1119432.58,2020-09-01,93.8,104.7
NB010005215,402420.73,2013-06-01,95.2,92.7
NB010005229,185284.36,2013-04-01,102.3,107.9
NB010005264,618768.07,2022-10-01,90.6,96.2
NB010005278,692159.93,2017-07-01,103.0,129.2
NB010005285,324320.76,2019-04-01,113.5,119.5
NB010005292,570372.26,2023-08-01,109.3,133.9
NB010005299,446539.65,2019-06-01,113.1,141.8
NB010005313,521646.9,2023-10-01,111.6,122.2
NB010005320,371305.63,2015-10-01,115.5,120.8
NB010005369,776282.3,2018-06-01,105.2,134.9
NB010005383,433341.34,2017-04-01,109.4,109.3
NB010005390,624157.79,2021-11-01,99.1,122.2
NB010005404,270566.57,2018-07-01,113.5,114.7
NB010005411,487551.12,2019-08-01,113.1,118.8
NB010005425,174537.41,2019-10-01,98.7,103.5
NB010005432,554791.95,2014-12-01,100.6,106.8
NB010005439,529461.14,2015-02-01,111.8,116.6
NB010005474,497910.58,2013-10-01,98.4,101.7
NB010005481,312183.89,2019-01-01,101.2,129.2
NB010005495,776021.94,2012-02-01,110.8,119.1
NB010005502,493105.51,2023-11-01,88.6,88.8
NB010005516,554516.65,2018-09-01,92.2,90.8
NB010005530,604052.08,2014-03-01,88.0,97.2
NB010005537,651851.46,2020-10-01,116.3,144.3
NB010005544,697766.35,2015-08-01,115.8,136.4
NB010005551,943239.78,2012-08-01,90.4,94.4
NB010005558,685157.73,2016-10-01,89.2,119.4
NB010005586,607227.69,2012-03-01,102.0,108.3
NB010005621,483598.27,2013-11-01,98.5,125.5
NB010005635,704288.77,2013-02-01,114.5,112.1
NB010005642,781715.71,2020-12-01,116.8,128.1
NB010005649,356313.42,2021-06-01,113.5,115.1
NB010005656,289324.22,2014-03-01,106.1,108.3
NB010005677,291766.83,2015-04-01,100.1,123.1
NB010005698,390568.16,2023-04-01,89.1,109.0
NB010005705,689154.22,2012-09-01,96.6,125.8
NB010005719,741045.85,2017-02-01,97.6,104.3
NB010005726,661648.74,2023-06-01,100.7,102.3
NB010005733,1035410.06,2012-11-01,92.1,105.7
NB010005740,871066.65,2014-09-01,104.9,114.7
NB010005754,634797.46,2012-01-01,104.7,131.2
NB010005775,596352.59,2017-11-01,96.5,113.1
NB010005796,223172.92,2018-02-01,111.0,116.4
NB010005803,153400.89,2017-08-01,117.5,116.5
NB010005817,91414.23,2023-04-01,113.1,148.5
NB010005831,191596.48,2014-03-01,113.2,112.6
NB010005845,754680.23,2015-01-01,115.0,114.9
NB010005859,739834.75,2022-01-01,117.9,117.7
NB010005880,656517.48,2013-11-01,110.5,107.0
NB010005887,534869.87,2020-08-01,93.5,116.4
NB010005894,948893.86,2017-02-01,91.9,108.4
NB010005901,293505.94,2015-02-01,109.4,110.2
NB010005915,294125.2,2015-10-01,117.7,140.9
NB010005929,704527.16,2019-08-01,103.2,110.9
NB010005950,908650.45,2016-06-01,111.4,133.3
NB010005971,321024.15,2016-10-01,109.1,126.0
NB010005985,558900.48,2014-09-01,116.8,125.5
NB010006006,585588.59,2019-03-01,107.9,114.2
NB010006013,522162.98,2022-12-01,92.1,103.2
NB010006041,199417.19,2023-08-01,92.4,96.3
NB010006048,113913.11,2023-09-01,90.7,95.0
NB010006055,306965.36,2020-11-01,88.9,103.4
NB010006076,422454.01,2023-12-01,105.6,111.9
NB010006090,215965.17,2017-01-01,109.8,107.9
NB010006104,428643.36,2018-01-01,90.5,108.6
NB010006111,589862.36,2021-03-01,97.6,116.0
NB010006118,208322.06,2015-04-01,102.1,135.7
NB010006125,1000121.56,2018-10-01,95.3,101.3
NB010006132,109774.22,2017-09-01,98.7,124.6
NB010006153,767346.61,2014-11-01,112.7,133.8
NB010006167,249982.46,2012-03-01,100.7,132.5
NB010006195,275303.21,2023-09-01,104.0,109.4
NB010006202,749274.37,2017-08-01,110.8,130.3
NB010006216,399462.34,2023-06-01,93.3,117.9
NB010006237,72985.85,2023-05-01,102.2,104.4
NB010006258,466500.6,2016-02-01,92.8,88.9
NB010006286,670873.25,2017-06-01,115.0,139.1
NB010006293,727601.81,2013-03-01,116.7,149.9
NB010006307,884053.83,2019-06-01,97.8,112.3
NB010006314,757436.94,2021-10-01,101.1,133.1
NB010006321,637788.84,2021-08-01,112.8,143.3
NB010006335,1240011.71,2017-09-01,109.0,121.4
NB010006342,688332.99,2012-08-01,111.8,129.0
NB010006370,662723.79,2015-07-01,103.8,110.1
NB010006384,178652.04,2023-09-01,105.2,101.9
NB010006391,188500.69,2013-08-01,97.2,119.6
NB010006419,228662.86,2016-12-01,116.0,113.0
NB010006426,574302.28,2012-02-01,110.0,105.7
NB010006433,543229.19,2017-08-01,114.9,111.5
NB010006454,389114.2,2019-08-01,114.6,138.2
NB010006461,199630.35,2019-02-01,109.0,126.6
NB010006468,532272.84,2021-08-01,90.9,98.1
NB010006503,139805.87,2020-06-01,106.9,138.3
NB010006531,793578.66,2015-12-01,92.5,120.3
NB010006566,898124.27,2022-08-01,102.0,132.8
NB010006580,456971.95,2021-05-01,93.8,123.9
NB010006587,197659.23,2014-07-01,95.2,101.9
NB010006594,548669.25,2021-07-01,110.5,108.7
NB010006601,189239.63,2015-06-01,94.1,103.3
NB010006608,426856.72,2022-01-01,92.1,88.7
NB010006615,1159722.88,2021-04-01,93.9,118.8
NB010006622,681804.01,2014-12-01,91.8,94.7
NB010006629,473920.79,2023-06-01,112.8,119.1
NB010006650,515284.42,2019-05-01,116.3,121.9
NB010006657,727857.36,2021-02-01,115.0,116.2
NB010006664,276275.85,2022-02-01,108.9,111.1
NB010006685,99399.0,2013-01-01,99.7,127.8
NB010006699,231928.29,2020-11-01,115.1,137.8
NB010006727,515399.44,2019-02-01,92.8,94.7
NB010006734,798333.24,2014-09-01,106.6,119.4
NB010006748,538658.41,2023-10-01,106.1,121.8
NB010006769,316657.64,2019-05-01,102.1,113.3
NB010006776,131150.91,2019-12-01,96.3,101.1
NB010006783,290366.63,2012-08-01,115.4,110.9
NB010006797,287433.89,2017-07-01,109.2,117.1
NB010006818,211604.85,2015-12-01,115.1,133.0
NB010006832,163224.18,2022-03-01,88.9,100.2
NB010006839,118422.35,2014-11-01,115.0,112.5
NB010006846,350232.46,2015-02-01,97.8,122.7
NB010006867,817920.15,2018-01-01,115.1,122.4
NB010006888,1424869.93,2015-10-01,112.5,132.7
NB010006895,796985.9,2015-08-01,103.4,112.8
NB010006902,382957.36,2021-09-01,96.3,113.3
NB010006916,421368.91,2012-05-01,98.2,94.9
NB010006923,592591.5,2022-09-01,104.2,118.7
NB010006930,155203.2,2021-06-01,109.7,120.7
NB010006937,1030715.28,2014-09-01,90.9,99.3
NB010006965,212656.57,2019-07-01,108.4,114.7
NB010006979,795148.36,2022-12-01,112.4,133.0
NB010006986,783234.26,2023-07-01,94.2,126.2
NB010006993,265866.59,2012-05-01,107.6,108.9
NB010007014,285623.56,2017-06-01,104.7,129.6
NB010007021,1168761.42,2015-10-01,106.5,133.4
NB010007028,131881.53,2016-01-01,115.3,116.4
NB010007035,1138929.41,2019-01-01,105.5,115.4
NB010007056,157364.98,2015-04-01,110.2,132.5
NB010007070,619441.28,2015-07-01,108.3,103.6
NB010007077,956946.11,2012-02-01,109.6,128.5
NB010007098,989482.74,2016-01-01,102.7,108.6
NB010007112,254794.16,2013-12-01,89.0,95.1
NB010007119,187980.03,2022-03-01,105.4,136.1
NB010007126,663268.46,2014-12-01,88.3,86.8
NB010007133,99852.29,2019-11-01,91.9,100.8
NB010007161,610444.86,2014-07-01,110.5,104.4
NB010007189,339437.21,2017-09-01,102.9,108.6
NB010007203,930955.07,2015-05-01,114.9,147.8
NB010007217,344062.25,2021-06-01,91.4,96.1
