ACCOUNT_ID,PROD_CD,REGION,RATING_GRADE,DRAWN_BAL,UNDRAWN,DPD,FORBEARANCE,WATCHLIST,DEFAULT_IND,IO_FLAG,MONTHLY_PAYMENT,EIR,REMAIN_TERM_M,LTV,PD_LIFETIME_ORIG
NB010000280,2400,NE,6,6443.98,0,0,N,N,N,N,161.79,0.2203,47,0.0,0.021473
NB010000287,2500,NW,5,6500.52,5499.48,0,N,N,N,N,348.66,0.1912,22,0.0,0.006331
NB010000294,2101,SW,3,248797.41,0.0,0,N,N,N,Y,0.0,4.0831,143,60.8,0.003128
NB010000301,2100,SE,9,375923.27,0.0,0,N,N,N,N,2153.35,4.419,206,70.2,0.038789
NB010000308,2500,NW,7,127.1,1372.9,0,N,N,N,N,2.08,0.3347,72,0.0,0.020038
NB010000315,2110,NI,7,111648.31,0.0,0,N,N,N,N,1266.78,4.1923,104,85.5,0.021538
NB010000322,2100,LON,12,87805.67,0.0,0,N,N,N,N,677.19,4.5599,153,49.4,0.069864
NB010000329,2110,MID,9,538175.95,0.0,0,N,N,N,N,2953.71,6.1778,215,69.6,0.053649
NB010000336 ,2700,NI,11,40837.91,0,0,N,N,N,N,1003.93,0.103,48,0.0,0.061149
NB010000343,2500,NW,4,2768.8,2231.2,0,N,N,N,N,75.98,0.2225,43,0.0,0.006935
NB010000350,2101,SE,5,168257.54,0.0,0,N,N,N,Y,0.0,3.4145,153,40.6,0.005516
NB010000357,2700,SW,8,33785.56,0,0,N,N,N,N,458.24,0.1086,87,0.0,0.044674
NB010000364,2100,WAL,8,142098.61,0.0,0,N,N,N,N,1016.22,2.5404,165,52.0,0.045404
NB010000371,2101,SCO,7,499326.61,0.0,12,N,N,N,N,2740.49,5.5217,215,47.3,0.039775
NB010000378,2600,SE,9,900.65,99.35,0,N,N,N,N,17.71,0.2651,60,0.0,0.047258
NB010000385,2100,MID,10,323329.68,0.0,0,N,N,N,N,5529.41,4.9332,69,63.0,0.045936
NB010000392,2500,NI,11,372.87,2627.13,0,N,N,N,N,9.56,0.2761,46,0.0,0.088989
NB010000399,2400,WAL,7,44589.43,0,47,N,Y,N,N,773.76,0.1414,68,0.0,0.02184
NB010000406,2130,SE,11,232251.57,0.0,0,N,N,N,N,2561.28,7.8226,107,78.8,0.093654
NB010000413,2500,SCO,7,4799.56,200.44,0,N,N,N,N,50.57,0.2713,112,0.0,0.034924
NB010000420,2500,NE,6,1694.27,6305.73,0,N,N,N,N,16.94,0.192,118,0.0,0.023752
NB010000427,2400,NW,1,27113.42,0,0,N,N,N,N,999.81,0.1169,32,0.0,0.00089
NB010000434,2101,SCO,8,594997.72,0.0,0,N,N,N,Y,0.0,6.059,52,48.2,0.027569
NB010000441,2101,NE,1,603257.55,0.0,0,N,N,N,N,4505.34,2.8543,158,72.9,0.000938
NB010000448,2400,SE,5,44837.13,2500,0,N,N,N,N,1959.55,0.1162,27,0.0,0.009201
NB010000455,2400,NE,2,17167.69,2500,0,N,N,N,N,405.16,0.2239,50,0.0,0.001735
NB010000462,2500,NI,5,7580.01,419.99,0,N,N,N,N,125.98,0.3136,71,0.0,0.007418
NB010000469,2700,SW,7,39842.14,2500,0,N,N,N,N,1146.68,0.0794,41,0.0,0.030686
NB010000476,2500,SE,7,4814.88,3185.12,0,N,N,N,N,71.92,0.2941,79,0.0,0.026148
NB010000483,2101,SW,9,129913.81,0.0,0,N,N,N,N,1008.54,4.434,152,62.1,0.068368
NB010000490,2100,SW,4,294414.39,0.0,0,N,N,N,N,1447.54,5.1414,240,46.9,0.005971
NB010000497,2100,MID,4,136380.25,0.0,0,N,N,N,N,549.24,2.6411,293,55.4,0.006138
NB010000504,2700,NI,10,10807.82,2500,0,N,N,N,N,135.67,0.1332,94,0.0,0.058977
NB010000511,2100,SE,4,317544.1,0.0,0,N,N,N,N,4683.78,4.1564,80,82.8,0.004975
NB010000518 ,2101,SCO,9,488626.41,0.0,0,N,N,N,N,6946.74,2.5815,83,80.1,0.036153
NB010000525,2101,WAL,6,330134.83,0.0,0,N,N,N,Y,0.0,5.0369,167,64.3,0.013398
NB010000532 ,2120,LON,15,83176.74,0.0,N/A,N,N,Y,N,637.33,4.527,154,74.3,0.097837
NB010000539,2101,NE,9,319781.72,0.0,75,N,N,N,Y,0.0,2.934,178,63.1,0.059921
NB010000546,2700,SCO,7,32083.09,0,0,N,N,N,N,620.62,0.1275,61,0.0,0.033195
NB010000553,2700,WAL,5,24602.17,0,0,N,N,N,N,592.46,0.1123,49,0.0,0.011006
NB010000560,2500,LON,5,1913.61,1086.39,0,N,N,N,N,18.98,0.2594,119,0.0,0.007714
NB010000567,2700,NW,5,20504.28,0,0,N,N,N,N,417.16,0.088,58,0.0,0.008574
NB010000574 ,2500,MID,8,2786.24,213.76,0,N,N,N,N,69.95,0.2151,47,0.0,0.026736
NB010000581,2100,WAL,6,541938.63,0.0,62,N,N,N,N,6459.47,4.3899,99,62.1,0.019312
NB010000588 ,2101,SCO,10,532552.77,0.0,0,N,N,N,Y,0.0,2.4347,176,77.9,0.075778
NB010000595,2110,SCO,3,237590.5,0.0,0,N,N,N,N,3788.61,4.9608,74,70.1,0.00341
NB010000602,2100,NE,8,371959.68,0.0,0,N,N,N,N,1925.05,5.0605,228,55.7,0.039111
NB010000609,2500,NW,9,506.53,993.47,0,N,N,N,N,7.03,0.1986,85,0.0,0.055148
NB010000616 ,2110,NW,10,64192.88,0.0,0,N,N,N,N,413.92,4.748,183,76.8,0.054048
NB010000623,2400,WAL,9,11459.51,2500,0,N,N,N,N,314.47,0.2242,43,0.0,0.057644
NB010000630,2110,WAL,15,487421.68,0.0,0,N,N,Y,N,5638.8,6.027,102,80.4,0.146007
NB010000637,2500,SCO,5,3923.16,4076.84,47,N,N,N,N,178.05,0.3309,26,0.0,0.007055
NB010000644,2100,WAL,13,71208.34,0.0,0,N,N,N,N,287.76,4.4852,292,78.3,0.104577
NB010000651,2400,NW,7,39078.83,0,0,N,N,N,N,823.45,0.141,56,0.0,0.037873
NB010000658,2500,SE,10,230.0,1270.0,190,N,Y,Y,N,2.95,0.2668,92,0.0,0.06666
NB010000665,2500,NW,5,2361.25,2638.75,0,N,N,N,N,47.22,0.2304,59,0.0,0.011048
NB010000672,2700,SE,5,20345.31,0,0,N,N,N,N,324.43,0.099,74,0.0,0.00704
NB010000679,2110,WAL,7,257639.71,0.0,0,N,N,N,N,1044.72,5.0853,291,89.4,0.033566
NB010000686,2600,NE,7,35.35,964.65,0,N,N,N,N,0.7,0.3987,60,0.0,0.036866
NB010000693 ,2101,MID,7,349179.55,0.0,0,N,N,N,Y,0.0,4.834,88,71.3,0.035994
NB010000700,2400,SCO,4,19319.33,0,0,N,N,N,N,569.92,0.2272,40,0.0,0.006096
NB010000707,2101,LON,1,578395.3,0.0,0,N,N,N,Y,0.0,2.8687,79,67.3,0.000703
NB010000714,2600,SCO,9,2999.28,2000.72,0,N,N,N,N,80.44,0.2668,44,0.0,0.06864
NB010000721,2110,SCO,12,436811.22,0.0,0,N,N,N,N,3482.68,5.8276,148,91.3,0.110556
NB010000728,2500,NE,6,1230.63,1769.37,0,N,N,N,N,19.62,0.3199,74,0.0,0.016537
NB010000735,2500,LON,3,511.18,2488.82,0,N,N,N,N,5.43,0.2996,111,0.0,0.004036
NB010000742 ,2700,LON,11,19824.46,2500,0,N,N,N,N,487.35,0.1373,48,0.0,0.067424
NB010000749,2100,SE,6,136385.75,0.0,0,N,N,N,N,2266.69,4.4925,71,73.1,0.017586
NB010000756,2120,SE,2,616359.37,0.0,0,N,N,N,N,9569.79,7.301,76,62.3,0.001949
NB010000763,2600,MID,9,929.99,70.01,0,N,N,N,N,43.9,0.3516,25,0.0,0.063654
NB010000770,2100,NW,7,349753.38,0.0,0,N,N,N,N,6349.37,2.5756,65,37.4,0.027111
NB010000777,2110,NI,6,321036.28,0.0,0,N,N,N,N,2128.22,6.0859,178,80.4,0.025248
NB010000784,2700,SCO,7,27790.57,2500,0,N,N,N,N,1214.55,0.0915,27,0.0,0.025458
NB010000791,2500,MID,6,1293.16,206.84,0,Y,N,N,N,58.69,0.2496,26,0.0,0.0254
NB010000798,2400,NE,8,14493.46,0,0,N,N,N,N,388.69,0.1637,44,0.0,0.054331
NB010000805,2500,NE,8,4586.99,413.01,0,N,N,N,N,45.48,0.3343,119,0.0,0.031586
NB010000812,2100,SE,3,204348.03,0.0,0,N,N,N,N,2009.42,5.1413,120,37.9,0.003086
NB010000819,2110,SW,4,265162.21,0.0,0,N,N,N,N,2564.68,3.5096,122,87.6,0.007074
NB010000826 ,2100,NW,6,515532.0,0.0,0,N,N,N,N,3306.13,5.5545,184,83.2,0.014069
NB010000833,2110,NW,9,458110.87,0.0,0,N,Y,N,N,2032.22,4.5621,266,70.7,0.034427
NB010000840,2500,LON,7,4346.56,3653.44,0,N,N,N,N,366.35,0.196,14,0.0,0.027767
NB010000847,2400,LON,5,29562.51,2500,0,N,N,N,N,1202.89,0.0817,29,0.0,0.007091
NB010000854,2400,NI,4,25478.98,0,0,N,N,N,N,567.27,0.1501,53,0.0,0.005937
NB010000861,2500,MID,5,1262.8,1737.2,0,N,N,N,N,57.31,0.2524,26,0.0,0.007992
NB010000868,2120,MID,10,105392.11,0.0,0,N,N,N,N,690.9,4.4313,180,77.9,0.042894
NB010000875,2600,MID,3,332.75,167.25,0,N,N,N,N,7.27,0.3135,54,0.0,0.002629
NB010000882,2100,SW,6,504924.72,0.0,0,N,Y,N,N,2402.46,5.783,248,70.3,0.021369
NB010000889,2600,SE,5,535.5,1964.5,0,N,N,N,N,11.7,0.2084,54,0.0,0.010838
NB010000896,2110,LON,5,380510.96,0.0,0,N,N,N,N,2953.97,4.7875,152,73.8,0.010742
NB010000903,2100,SW,1,339470.98,0.0,0,N,N,N,N,3576.57,3.0794,112,78.8,0.000901
NB010000910,2500,SCO,10,5573.01,2426.99,0,N,N,N,N,234.86,0.3402,28,0.0,0.057895
NB010000917,2400,SCO,6,26856.37,0,0,N,N,N,N,1864.15,0.1214,17,0.0,0.017344
NB010000924,2500,SE,9,6821.09,1178.91,95,N,N,Y,N,114.98,0.3198,70,0.0,0.052527
NB010000931,2500,NW,9,4698.27,3301.73,0,N,N,N,N,369.6,0.2271,15,0.0,0.062787
NB010000938,2400,LON,11,31709.57,0,130,N,N,Y,N,593.93,0.1977,63,0.0,0.090369
NB010000945,2100,NE,13,180407.67,0.0,0,N,N,N,N,2504.48,3.5101,85,61.6,0.068068
NB010000952,2101,NE,6,90261.94,0.0,0,N,N,N,Y,0.0,3.2117,235,44.4,0.017733
NB010000959,2120,LON,5,327702.27,0.0,0,N,N,N,N,4296.54,6.0309,90,85.1,0.00824
NB010000966,2700,SE,7,14235.09,0,0,N,N,N,N,559.91,0.1421,30,0.0,0.036808
NB010000973,2100,NE,4,469463.1,0.0,0,N,N,N,N,4540.71,3.3971,122,83.4,0.006374
NB010000980,2110,MID,7,382299.46,0.0,0,N,N,N,N,2022.93,3.9668,223,75.7,0.034273
NB010000987,2700,LON,10,4041.36,0,0,N,Y,N,N,58.87,0.0838,81,0.0,0.071179
NB010000994,2110,SW,9,476757.46,0.0,0,N,N,N,N,2930.07,4.9632,192,85.7,0.035077
NB010001001,2120,LON,3,456324.19,0.0,0,N,N,N,N,4602.24,6.5335,117,85.9,0.003115
NB010001008 ,2100,MID,9,139477.18,0.0,5,N,N,N,N,1097.22,4.7047,150,45.6,0.042437
NB010001015,2110,SCO,6,539174.54,0.0,190,Y,N,Y,N,2891.94,5.3306,220,70.6,0.015808
NB010001022,2400,NE,11,1334.58,2500,0,N,N,N,N,92.64,0.1862,17,0.0,0.092589
NB010001029,2110,SE,10,100052.82,0.0,0,N,N,N,N,452.35,4.2422,261,83.2,0.067798
NB010001036,2600,NI,5,354.12,145.88,0,N,N,N,N,9.72,0.3916,43,0.0,0.005632
NB010001043 ,2400,SE,15,25348.83,0,0,N,N,Y,N,964.89,0.1289,31,0.0,0.123007
NB010001050,2100,LON,3,364052.02,0.0,0,N,N,N,N,1979.64,3.5049,217,76.1,0.004117
NB010001057,2500,SCO,12,253.55,1246.45,0,N,N,N,N,3.74,0.2446,80,0.0,0.092671
NB010001064,2100,NI,7,575899.56,0.0,190,N,N,Y,N,3796.43,2.4857,179,83.0,0.026175
NB010001071,2400,SW,2,25613.94,0,0,N,N,N,N,686.92,0.1079,44,0.0,0.001831
NB010001078,2400,LON,11,13119.48,0,0,N,N,N,N,227.66,0.1962,68,0.0,0.079261
NB010001085,2400,NE,8,12846.77,0,0,N,N,N,N,757.96,0.1857,20,0.0,0.03504
NB010001092,2130,WAL,3,532750.13,0.0,0,N,N,N,N,5563.23,8.9623,113,78.5,0.003945
NB010001099,2500,SW,4,3595.33,8404.67,0,N,N,N,N,44.66,0.2446,95,0.0,0.003737
NB010001106 ,2600,SE,7,187.24,812.76,0,N,N,N,N,3.68,0.246,60,0.0,0.024018
NB010001113,2100,NE,3,300014.81,0.0,0,N,N,N,N,1330.89,3.4242,266,66.9,0.003242
NB010001120,2120,SW,3,480095.92,0.0,0,N,N,N,N,9938.83,8.1282,57,76.8,0.002338
NB010001127 ,2100,WAL,8,356836.43,0.0,0,N,N,N,N,1582.96,5.8428,266,84.0,0.04274
NB010001134,2100,NI,6,232773.04,0.0,0,N,N,N,N,1525.96,4.5313,180,78.7,0.021147
NB010001141 ,2500,NW,9,9246.61,2753.39,0,N,N,N,N,147.45,0.2194,74,0.0,0.063198
NB010001148,2500,SCO,3,1206.23,293.77,0,N,N,N,N,12.6,0.2335,113,0.0,0.002446
NB010001155,2100,MID,3,145222.95,0.0,0,N,N,N,N,582.87,4.9168,294,60.4,0.003225
NB010001162,2130,SE,5,365894.58,0.0,0,N,N,N,N,6081.06,5.0902,71,67.6,0.00876
NB010001169,2600,NW,5,108.63,4891.37,0,N,N,N,N,4.58,0.2065,28,0.0,0.006071
NB010001176,2500,MID,4,6005.19,1994.81,0,N,N,N,N,208.42,0.3366,34,0.0,0.005593
NB010001183,2600,LON,9,788.33,4211.67,95,N,N,Y,N,62.02,0.1961,15,0.0,0.057334
NB010001190,2400,MID,8,19115.62,2500,0,N,N,N,N,902.26,0.1766,25,0.0,0.040384
NB010001197,2500,SCO,10,6594.66,1405.34,0,N,N,N,N,117.9,0.2199,66,0.0,0.057151
NB010001204,2500,NI,9,1795.54,3204.46,0,N,Y,N,N,35.31,0.2896,60,0.0,0.034004
NB010001211,2100,WAL,5,611904.49,0.0,0,N,N,N,N,5388.41,5.6587,134,69.4,0.005812
NB010001218,2100,NW,5,320000.35,0.0,0,N,N,N,N,1620.6,3.4637,233,48.2,0.009947
NB010001225,2500,NW,7,1336.09,1663.91,0,N,N,N,N,16.95,0.2772,93,0.0,0.026469
NB010001232,2400,SE,8,4710.3,0,0,N,N,N,N,108.98,0.2125,51,0.0,0.034082
NB010001239,2100,NE,6,588722.61,0.0,0,N,N,N,N,9784.4,4.8158,71,42.3,0.025319
NB010001246,2700,SW,7,33097.02,2500,0,N,N,N,N,542.42,0.1436,72,0.0,0.022141
NB010001253,2100,LON,6,360964.07,0.0,0,N,N,N,N,2999.56,3.2599,142,35.6,0.022234
NB010001260,2500,NW,7,1264.08,235.92,0,N,N,N,N,21.31,0.1933,70,0.0,0.035949
NB010001267,2100,SCO,5,248196.19,0.0,0,N,N,N,N,3290.69,4.0729,89,68.5,0.0103
NB010001274,2100,WAL,6,272021.3,0.0,0,N,N,N,N,1134.22,5.4926,283,39.9,0.014764
NB010001281,2400,MID,12,16576.7,0,0,N,N,N,N,287.65,0.1966,68,0.0,0.062659
NB010001288,2600,LON,7,2211.79,288.21,0,N,N,N,N,81.56,0.1957,32,0.0,0.026691
NB010001295,2100,SCO,9,545650.52,0.0,0,N,N,N,N,6191.03,5.4709,104,67.1,0.038508
NB010001302,2400,SW,4,22078.93,2500,0,N,N,N,N,635.44,0.2272,41,0.0,0.004497
NB010001309 ,2110,LON,6,313081.13,0.0,0,N,N,N,N,3003.54,4.9262,123,83.0,0.014458
NB010001316,2101,NI,1,132636.01,0.0,0,N,N,N,Y,0.0,4.8196,237,43.9,0.000789
NB010001323,2400,LON,2,7321.78,2500,0,N,N,N,N,113.68,0.166,76,0.0,0.002004
NB010001330,2100,NW,9,585593.18,0.0,0,Y,N,N,N,2568.77,4.2521,269,41.2,0.042247
NB010001337,2500,NI,5,4643.51,356.49,0,N,N,N,N,114.15,0.3435,48,0.0,0.006273
NB010001344,2500,NI,7,4319.29,3680.71,0,N,N,N,N,175.75,0.3269,29,0.0,0.022279
NB010001351,2500,NE,9,8488.42,3511.58,95,N,N,Y,N,84.17,0.3445,119,0.0,0.049028
NB010001358,2100,NI,7,312365.49,0.0,0,N,N,N,N,3071.59,5.1454,120,61.3,0.027948
NB010001365,2100,NW,6,107686.34,0.0,0,N,N,N,N,841.52,3.7522,151,86.4,0.013311
NB010001372,2100,NI,10,237755.64,0.0,0,N,N,N,N,1304.89,3.3519,215,44.2,0.056162
NB010001379,2100,MID,8,246709.07,0.0,0,N,N,N,N,2695.53,3.533,108,44.4,0.035226
NB010001386,2500,NE,5,1248.12,1751.88,0,N,N,N,N,35.07,0.2506,42,0.0,0.008611
NB010001393 ,2400,SE,7,37863.62,0,999,N,N,N,N,2030.87,0.0728,22,0.0,0.023344
NB010001400,2500,NI,10,7132.74,4867.26,0,N,N,N,N,127.52,0.3451,66,0.0,0.054031
NB010001407,2400,LON,4,5829.7,0,0,N,N,N,N,573.25,0.1205,12,0.0,0.003594
NB010001414,2500,NW,3,8527.76,3472.24,0,N,Y,N,N,91.48,0.297,110,0.0,0.003381
NB010001421,2700,MID,4,24689.88,2500,0,N,N,N,N,338.77,0.1056,86,0.0,0.003727
NB010001428,2400,SW,3,38483.01,0,0,N,Y,N,N,3493.07,0.1733,13,0.0,0.004108
NB010001435,2110,LON,9,180182.7,0.0,0,N,N,N,N,3221.45,6.5936,66,82.2,0.060161
NB010001442 ,2100,MID,10,507505.6,0.0,22,N,N,N,N,2251.34,5.3033,266,42.7,0.044616
NB010001449,2500,NW,3,2739.36,5260.64,0,N,N,N,N,32.32,0.2573,100,0.0,0.003889
NB010001456,2100,SCO,10,471633.25,0.0,0,N,N,N,N,2100.1,2.7681,265,87.3,0.053647
NB010001463 ,2400,SE,3,32713.25,0,0,N,N,N,N,941.5,0.1464,41,0.0,0.002538
NB010001470,2100,NI,7,406374.54,0.0,0,N,N,N,N,1653.52,4.3008,290,64.2,0.038464
NB010001477,2100,SE,12,427636.51,0.0,0,N,N,N,N,3504.24,3.7822,144,55.8,0.104718
NB010001484,2500,WAL,6,6164.18,5835.82,0,N,N,N,N,169.16,0.3323,43,0.0,0.017604
NB010001491,2101,SW,6,373376.78,0.0,0,N,N,N,Y,0.0,5.9689,163,44.4,0.01336
NB010001498,2100,MID,6,312860.29,0.0,0,N,N,N,N,2546.04,2.3706,145,40.1,0.019521
NB010001505,2500,NW,10,1828.99,1171.01,,N,N,N,N,35.97,0.2054,60,0.0,0.057047
NB010001512,2500,SW,10,272.02,2727.98,0,N,N,N,N,14.59,0.3375,22,0.0,0.043884
NB010001519 ,2400,SCO,15,28063.06,0,0,N,N,Y,N,459.92,0.1367,72,0.0,0.078717
NB010001526,2500,NE,8,10552.1,1447.9,0,N,N,N,N,116.37,0.3239,107,0.0,0.032048
NB010001533,2400,SE,4,42806.34,0,0,N,N,N,N,711.43,0.1797,71,0.0,0.004299
NB010001540,2600,SW,12,2289.09,210.91,47,N,N,N,N,57.47,0.3121,47,0.0,0.078895
NB010001547,2110,NW,11,397419.14,0.0,0,N,N,N,N,4077.87,3.6016,115,85.2,0.087052
NB010001554,2100,MID,5,272403.59,0.0,0,N,N,N,N,4343.73,3.5409,74,40.6,0.008185
NB010001561,2400,MID,6,15158.06,0,0,N,N,N,N,325.21,0.2027,55,0.0,0.017456
NB010001568,2400,SCO,5,18655.35,0,0,N,N,N,N,1467.55,0.2224,15,0.0,0.006378
NB010001575,2120,SCO,7,240224.23,0.0,0,N,N,N,N,1877.25,5.1103,151,63.2,0.030595
NB010001582,2700,SW,8,26768.14,0,0,N,N,N,N,501.37,0.0877,63,0.0,0.035955
NB010001589,2400,NE,9,9306.16,2500,0,N,N,N,N,577.96,0.1339,19,0.0,0.035255
NB010001596,2400,LON,9,30291.66,0,0,N,N,N,N,425.53,0.2202,84,0.0,0.059992
NB010001603,2100,NI,4,47114.71,0.0,0,N,N,N,N,185.32,2.5955,300,85.5,0.004775
NB010001610,2100,SE,9,115112.63,0.0,0,N,N,N,N,470.01,3.1443,289,63.0,0.049051
NB010001617,2100,MID,8,336928.1,0.0,0,N,N,N,N,2686.32,3.2135,148,46.7,0.042728
NB010001624,2100,NE,9,88345.43,0.0,0,N,N,N,N,363.23,2.9874,287,58.3,0.059332
NB010001631,2100,NI,7,73044.56,0.0,0,N,N,N,N,495.36,4.1172,174,79.5,0.039302
NB010001638,2600,SW,5,1662.04,3337.96,0,N,N,N,N,35.02,0.215,56,0.0,0.006297
NB010001645,2700,LON,11,16194.63,0,0,N,N,N,N,597.18,0.1047,32,0.0,0.079625
NB010001652,2110,LON,4,191753.83,0.0,0,N,N,N,N,1450.45,3.3629,156,75.4,0.005293
NB010001659,2400,SW,9,16593.76,0,0,N,N,N,N,1305.38,0.1194,15,0.0,0.063875
NB010001666,2700,LON,6,30887.13,0,0,N,N,N,N,414.17,0.1204,88,0.0,0.023205
NB010001673,2100,NI,6,129629.59,0.0,0,N,N,N,N,999.76,3.0245,153,78.4,0.0192
NB010001680,2100,NE,7,606945.17,0.0,0,N,N,N,N,3378.28,4.5974,212,71.3,0.0258
NB010001687,2100,SCO,6,551042.23,0.0,0,N,N,N,N,5243.79,3.4875,124,60.2,0.018382
NB010001694,2500,NW,1,1754.88,6245.12,0,N,N,N,N,20.5,0.2038,101,0.0,0.000883
NB010001701 ,2500,SW,8,10617.17,1382.83,0,N,N,N,N,162.7,0.2496,77,0.0,0.031709
NB010001708,2500,NI,3,1790.27,1209.73,0,N,N,N,N,27.44,0.3025,77,0.0,0.003889
NB010001715,2600,MID,8,4625.03,374.97,0,N,N,N,N,181.92,0.3989,30,0.0,0.039061
NB010001722,2400,SW,4,6670.25,0,0,N,Y,N,N,393.54,0.1338,20,0.0,0.005161
NB010001729,2400,WAL,7,39935.44,0,0,N,N,N,N,785.4,0.0808,60,0.0,0.023204
NB010001736,2500,MID,1,2801.71,2198.29,0,N,N,N,N,29.78,0.208,111,0.0,0.000642
NB010001743,2600,WAL,6,4347.56,652.44,0,N,N,N,N,320.63,0.3302,16,0.0,0.017023
NB010001750,2100,NI,1,523236.45,0.0,0,N,N,N,N,8575.26,5.7477,72,40.7,0.000609
NB010001757,2400,NI,6,4684.79,0,0,N,N,N,N,69.98,0.12,79,0.0,0.013679
NB010001764,2110,SW,7,207924.82,0.0,0,N,N,N,N,1066.74,5.3085,230,91.1,0.032105
NB010001771,2500,LON,4,1520.59,1479.41,0,N,N,N,N,27.6,0.3284,65,0.0,0.006351
NB010001778,2100,MID,15,300811.86,0.0,0,N,N,Y,N,1448.81,5.5136,245,79.2,0.154657
NB010001785,2100,LON,4,370541.87,0.0,0,N,N,N,N,1814.27,5.4967,241,65.2,0.006209
